nStepSARSAAgent * Best: 7 * Params: {'epsilon': 0.1, 'epsilon_decay': 'exponential', 'step_size': 0.01, 'gamma': 1, 'n': 4} * Episodes: 5000
nStepSARSAAgent * Best: 4 * Params: {'epsilon': 0.2, 'epsilon_decay': 'exponential', 'step_size': 0.01, 'gamma': 1, 'n': 2} * Episodes: 5000
nStepSARSAAgent * Best: 14 * Params: {'epsilon': 0.2, 'epsilon_decay': 'exponential', 'step_size': 0.01, 'gamma': 1, 'n': 3} * Episodes: 5000
nStepSARSAAgent * Best: 11 * Params: {'epsilon': 0.2, 'epsilon_decay': 'exponential', 'step_size': 0.01, 'gamma': 1, 'n': 4} * Episodes: 5000
nStepSARSAAgent * Best: 7 * Params: {'epsilon': 0.5, 'epsilon_decay': 'exponential', 'step_size': 0.01, 'gamma': 1, 'n': 2} * Episodes: 5000
nStepSARSAAgent * Best: 4 * Params: {'epsilon': 0.5, 'epsilon_decay': 'exponential', 'step_size': 0.01, 'gamma': 1, 'n': 3} * Episodes: 5000
nStepSARSAAgent * Best: 50 * Params: {'epsilon': 0.5, 'epsilon_decay': 'exponential', 'step_size': 0.01, 'gamma': 1, 'n': 4} * Episodes: 5000
nStepSARSAAgent * Best: 28 * Params: {'epsilon': 0.1, 'epsilon_decay': 'exponential', 'step_size': 0.05, 'gamma': 1, 'n': 2} * Episodes: 5000
nStepSARSAAgent * Best: 19 * Params: {'epsilon': 0.1, 'epsilon_decay': 'exponential', 'step_size': 0.05, 'gamma': 1, 'n': 3} * Episodes: 5000
nStepSARSAAgent * Best: 111 * Params: {'epsilon': 0.1, 'epsilon_decay': 'exponential', 'step_size': 0.05, 'gamma': 1, 'n': 4} * Episodes: 5000
nStepSARSAAgent * Best: 17 * Params: {'epsilon': 0.2, 'epsilon_decay': 'exponential', 'step_size': 0.05, 'gamma': 1, 'n': 2} * Episodes: 5000
nStepSARSAAgent * Best: 97 * Params: {'epsilon': 0.2, 'epsilon_decay': 'exponential', 'step_size': 0.05, 'gamma': 1, 'n': 3} * Episodes: 5000
nStepSARSAAgent * Best: 139 * Params: {'epsilon': 0.2, 'epsilon_decay': 'exponential', 'step_size': 0.05, 'gamma': 1, 'n': 4} * Episodes: 5000
nStepSARSAAgent * Best: 132 * Params: {'epsilon': 0.5, 'epsilon_decay': 'exponential', 'step_size': 0.05, 'gamma': 1, 'n': 2} * Episodes: 5000
nStepSARSAAgent * Best: 156 * Params: {'epsilon': 0.5, 'epsilon_decay': 'exponential', 'step_size': 0.05, 'gamma': 1, 'n': 3} * Episodes: 5000
nStepSARSAAgent * Best: 940 * Params: {'epsilon': 0.5, 'epsilon_decay': 'exponential', 'step_size': 0.05, 'gamma': 1, 'n': 4} * Episodes: 5000
nStepSARSAAgent * Best: 3210 * Params: {'epsilon': 0.1, 'epsilon_decay': 'exponential', 'step_size': 0.2, 'gamma': 1, 'n': 2} * Episodes: 5000
nStepSARSAAgent * Best: 5596 * Params: {'epsilon': 0.1, 'epsilon_decay': 'exponential', 'step_size': 0.2, 'gamma': 1, 'n': 3} * Episodes: 5000
nStepSARSAAgent * Best: 3024 * Params: {'epsilon': 0.1, 'epsilon_decay': 'exponential', 'step_size': 0.2, 'gamma': 1, 'n': 4} * Episodes: 5000
nStepSARSAAgent * Best: 5182 * Params: {'epsilon': 0.2, 'epsilon_decay': 'exponential', 'step_size': 0.2, 'gamma': 1, 'n': 2} * Episodes: 5000
nStepSARSAAgent * Best: 4178 * Params: {'epsilon': 0.2, 'epsilon_decay': 'exponential', 'step_size': 0.2, 'gamma': 1, 'n': 3} * Episodes: 5000
nStepSARSAAgent * Best: 3237 * Params: {'epsilon': 0.2, 'epsilon_decay': 'exponential', 'step_size': 0.2, 'gamma': 1, 'n': 4} * Episodes: 5000
nStepSARSAAgent * Best: 4389 * Params: {'epsilon': 0.5, 'epsilon_decay': 'exponential', 'step_size': 0.2, 'gamma': 1, 'n': 2} * Episodes: 5000
nStepSARSAAgent * Best: 3607 * Params: {'epsilon': 0.5, 'epsilon_decay': 'exponential', 'step_size': 0.2, 'gamma': 1, 'n': 3} * Episodes: 5000
nStepSARSAAgent * Best: 4868 * Params: {'epsilon': 0.5, 'epsilon_decay': 'exponential', 'step_size': 0.2, 'gamma': 1, 'n': 4} * Episodes: 5000
