ExpectedSARSAAgent * Best: 4 * Params: {'epsilon': 0.5, 'epsilon_decay': 'linear', 'step_size': 0.01, 'gamma': 1} * Episodes: 5000
ExpectedSARSAAgent * Best: 2 * Params: {'epsilon': 0.1, 'epsilon_decay': 'linear', 'step_size': 0.05, 'gamma': 1} * Episodes: 5000
ExpectedSARSAAgent * Best: 7 * Params: {'epsilon': 0.2, 'epsilon_decay': 'linear', 'step_size': 0.05, 'gamma': 1} * Episodes: 5000
ExpectedSARSAAgent * Best: 7 * Params: {'epsilon': 0.5, 'epsilon_decay': 'linear', 'step_size': 0.05, 'gamma': 1} * Episodes: 5000
ExpectedSARSAAgent * Best: 193 * Params: {'epsilon': 0.1, 'epsilon_decay': 'linear', 'step_size': 0.2, 'gamma': 1} * Episodes: 5000
ExpectedSARSAAgent * Best: 827 * Params: {'epsilon': 0.2, 'epsilon_decay': 'linear', 'step_size': 0.2, 'gamma': 1} * Episodes: 5000
ExpectedSARSAAgent * Best: 217 * Params: {'epsilon': 0.5, 'epsilon_decay': 'linear', 'step_size': 0.2, 'gamma': 1} * Episodes: 5000
ExpectedSARSAAgent * Best: 5 * Params: {'epsilon': 0.1, 'epsilon_decay': 'none', 'step_size': 0.01, 'gamma': 1} * Episodes: 5000
ExpectedSARSAAgent * Best: 2 * Params: {'epsilon': 0.2, 'epsilon_decay': 'none', 'step_size': 0.01, 'gamma': 1} * Episodes: 5000
ExpectedSARSAAgent * Best: 4 * Params: {'epsilon': 0.5, 'epsilon_decay': 'none', 'step_size': 0.01, 'gamma': 1} * Episodes: 5000
ExpectedSARSAAgent * Best: 5 * Params: {'epsilon': 0.1, 'epsilon_decay': 'none', 'step_size': 0.05, 'gamma': 1} * Episodes: 5000
ExpectedSARSAAgent * Best: 8 * Params: {'epsilon': 0.2, 'epsilon_decay': 'none', 'step_size': 0.05, 'gamma': 1} * Episodes: 5000
ExpectedSARSAAgent * Best: 13 * Params: {'epsilon': 0.5, 'epsilon_decay': 'none', 'step_size': 0.05, 'gamma': 1} * Episodes: 5000
ExpectedSARSAAgent * Best: 24 * Params: {'epsilon': 0.1, 'epsilon_decay': 'none', 'step_size': 0.2, 'gamma': 1} * Episodes: 5000
ExpectedSARSAAgent * Best: 42 * Params: {'epsilon': 0.2, 'epsilon_decay': 'none', 'step_size': 0.2, 'gamma': 1} * Episodes: 5000
ExpectedSARSAAgent * Best: 14 * Params: {'epsilon': 0.5, 'epsilon_decay': 'none', 'step_size': 0.2, 'gamma': 1} * Episodes: 5000
ExpectedSARSAAgent * Best: 2 * Params: {'epsilon': 0.1, 'epsilon_decay': 'exponential', 'step_size': 0.01, 'gamma': 1} * Episodes: 10000
ExpectedSARSAAgent * Best: 5 * Params: {'epsilon': 0.2, 'epsilon_decay': 'exponential', 'step_size': 0.01, 'gamma': 1} * Episodes: 10000
ExpectedSARSAAgent * Best: 3 * Params: {'epsilon': 0.5, 'epsilon_decay': 'exponential', 'step_size': 0.01, 'gamma': 1} * Episodes: 10000
ExpectedSARSAAgent * Best: 25 * Params: {'epsilon': 0.1, 'epsilon_decay': 'exponential', 'step_size': 0.05, 'gamma': 1} * Episodes: 10000
ExpectedSARSAAgent * Best: 27 * Params: {'epsilon': 0.2, 'epsilon_decay': 'exponential', 'step_size': 0.05, 'gamma': 1} * Episodes: 10000
ExpectedSARSAAgent * Best: 11 * Params: {'epsilon': 0.5, 'epsilon_decay': 'exponential', 'step_size': 0.05, 'gamma': 1} * Episodes: 10000
ExpectedSARSAAgent * Best: 207 * Params: {'epsilon': 0.1, 'epsilon_decay': 'exponential', 'step_size': 0.2, 'gamma': 1} * Episodes: 10000
ExpectedSARSAAgent * Best: 906 * Params: {'epsilon': 0.2, 'epsilon_decay': 'exponential', 'step_size': 0.2, 'gamma': 1} * Episodes: 10000
ExpectedSARSAAgent * Best: 8061 * Params: {'epsilon': 0.5, 'epsilon_decay': 'exponential', 'step_size': 0.2, 'gamma': 1} * Episodes: 10000
ExpectedSARSAAgent * Best: 2 * Params: {'epsilon': 0.1, 'epsilon_decay': 'linear', 'step_size': 0.01, 'gamma': 1} * Episodes: 10000
ExpectedSARSAAgent * Best: 3 * Params: {'epsilon': 0.2, 'epsilon_decay': 'linear', 'step_size': 0.01, 'gamma': 1} * Episodes: 10000
ExpectedSARSAAgent * Best: 4 * Params: {'epsilon': 0.5, 'epsilon_decay': 'linear', 'step_size': 0.01, 'gamma': 1} * Episodes: 10000
ExpectedSARSAAgent * Best: 14 * Params: {'epsilon': 0.1, 'epsilon_decay': 'linear', 'step_size': 0.05, 'gamma': 1} * Episodes: 10000
ExpectedSARSAAgent * Best: 90 * Params: {'epsilon': 0.2, 'epsilon_decay': 'linear', 'step_size': 0.05, 'gamma': 1} * Episodes: 10000
ExpectedSARSAAgent * Best: 394 * Params: {'epsilon': 0.5, 'epsilon_decay': 'linear', 'step_size': 0.05, 'gamma': 1} * Episodes: 10000
ExpectedSARSAAgent * Best: 30980 * Params: {'epsilon': 0.1, 'epsilon_decay': 'linear', 'step_size': 0.2, 'gamma': 1} * Episodes: 10000
ExpectedSARSAAgent * Best: 87590 * Params: {'epsilon': 0.2, 'epsilon_decay': 'linear', 'step_size': 0.2, 'gamma': 1} * Episodes: 10000
ExpectedSARSAAgent * Best: 21413 * Params: {'epsilon': 0.5, 'epsilon_decay': 'linear', 'step_size': 0.2, 'gamma': 1} * Episodes: 10000
ExpectedSARSAAgent * Best: 3 * Params: {'epsilon': 0.1, 'epsilon_decay': 'none', 'step_size': 0.01, 'gamma': 1} * Episodes: 10000
ExpectedSARSAAgent * Best: 5 * Params: {'epsilon': 0.2, 'epsilon_decay': 'none', 'step_size': 0.01, 'gamma': 1} * Episodes: 10000
ExpectedSARSAAgent * Best: 6 * Params: {'epsilon': 0.5, 'epsilon_decay': 'none', 'step_size': 0.01, 'gamma': 1} * Episodes: 10000
ExpectedSARSAAgent * Best: 33 * Params: {'epsilon': 0.1, 'epsilon_decay': 'none', 'step_size': 0.05, 'gamma': 1} * Episodes: 10000
ExpectedSARSAAgent * Best: 14 * Params: {'epsilon': 0.2, 'epsilon_decay': 'none', 'step_size': 0.05, 'gamma': 1} * Episodes: 10000
ExpectedSARSAAgent * Best: 14 * Params: {'epsilon': 0.5, 'epsilon_decay': 'none', 'step_size': 0.05, 'gamma': 1} * Episodes: 10000
ExpectedSARSAAgent * Best: 99 * Params: {'epsilon': 0.1, 'epsilon_decay': 'none', 'step_size': 0.2, 'gamma': 1} * Episodes: 10000
ExpectedSARSAAgent * Best: 47 * Params: {'epsilon': 0.2, 'epsilon_decay': 'none', 'step_size': 0.2, 'gamma': 1} * Episodes: 10000
ExpectedSARSAAgent * Best: 16 * Params: {'epsilon': 0.5, 'epsilon_decay': 'none', 'step_size': 0.2, 'gamma': 1} * Episodes: 10000
